location,meal_section,category,item_name,serving_size,Total Fat,Protein,Total Carbohydrate,Total Sugars,Total Sodium,Calories
Saladalia @ The Perk,Drink,Lattes and Cappuccinos,Green Matcha Latte Skim Milk,LargeSmall,0g,16g,129g,129g,510mg,580
Saladalia @ The Perk,Drink,Lattes and Cappuccinos,Green Matcha Latte Whole Milk,LargeSmall,17g,17g,130g,128g,560mg,741
Saladalia @ The Perk,Drink,Lattes and Cappuccinos,Iced Green Matcha Latte Skim Milk,SmallLarge,0g,11g,19g,20g,150mg,120
Saladalia @ The Perk,Drink,Lattes and Cappuccinos,Iced Green Matcha Latte Whole Milk,SmallLarge,12g,12g,20g,19g,180mg,236
Saladalia @ The Perk,Drink,Frappes,Caramel Frappe Oat Milk,Large,19g,7g,80g,84g,290mg,519
Saladalia @ The Perk,Drink,Frappes,Caramel Frappe Skim Milk,Large,18g,9g,73g,81g,280mg,490
Saladalia @ The Perk,Drink,Frappes,Caramel Frappe Soy Milk,Large,20g,9g,71g,78g,280mg,500
Saladalia @ The Perk,Drink,Frappes,Caramel Frappe Whole Milk,Large,22g,9g,73g,81g,290mg,526
Saladalia @ The Perk,Drink,Frappes,Chai Frappe Oat Milk,Large,18g,7g,50g,53g,180mg,390
Saladalia @ The Perk,Drink,Frappes,Chai Frappe Skim Milk,Large,17g,9g,40g,49g,170mg,349
Saladalia @ The Perk,Drink,Frappes,Chai Frappe Soy Milk,Large,20g,9g,37g,45g,160mg,364
Saladalia @ The Perk,Drink,Frappes,Chai Frappe Whole Milk,Large,22g,10g,40g,49g,190mg,398
Saladalia @ The Perk,Drink,Frappes,Matcha Frappe Oat Milk,Large,19g,9g,74g,74g,280mg,503
Saladalia @ The Perk,Drink,Frappes,Matcha Frappe Skim Milk,Large,17g,13g,57g,67g,270mg,433
Saladalia @ The Perk,Drink,Frappes,Matcha Frappe Soy Milk,Large,22g,13g,54g,60g,250mg,466
Saladalia @ The Perk,Drink,Frappes,Matcha Frappe Whole Milk,Large,26g,13g,58g,66g,300mg,518
Saladalia @ The Perk,Drink,Frappes,Mocha Frappe Skim Milk,Large,20g,9g,63g,67g,170mg,468
Saladalia @ The Perk,Drink,Frappes,Mocha Frappe Soy Milk,Large,22g,9g,61g,65g,160mg,478
Saladalia @ The Perk,Drink,Frappes,Mocha Frappe Oat Milk,Large,21g,7g,69g,70g,170mg,493
Saladalia @ The Perk,Drink,Frappes,Mocha Frappe Whole Milk,Large,24g,9g,63g,67g,180mg,504
Saladalia @ The Perk,Drink,Frappes,Vanilla Frappe Skim Milk,Large,16g,7g,71g,81g,150mg,456
Saladalia @ The Perk,Drink,Frappes,Vanilla Frappe Soy Milk,Large,19g,7g,70g,78g,140mg,479
Saladalia @ The Perk,Drink,Frappes,Vanilla Frappe Oat Milk,Large,17g,6g,78g,83g,150mg,489
Saladalia @ The Perk,Drink,Frappes,Vanilla Frappe Whole Milk,Large,27g,8g,74g,82g,170mg,571
Sanford Deli,Breakfast,Egg Bites,Bacon Swiss and Arugula Egg Bite,2.7 oz Portion,14g,9g,2g,0g,390mg,170
Sanford Deli,Breakfast,Egg Bites,Spinach Feta Roasted Red Pepper Egg Bite,2.9 oz Portion,13g,7g,2g,0g,400mg,153
Sanford Deli,Any,Paninis,Chicken Parmesan Panini,Sandwich,22g,48g,88g,4g,1380mg,742
Sanford Deli,Any,Paninis,French Beef Panini,Sandwich,33g,51g,72g,4g,1410mg,789
Sanford Deli,Any,Paninis,Grilled Ratatouille Panini,Sandwich,27g,27g,109g,6g,1050mg,787
Sanford Deli,Any,Paninis,The Toscana,Sandwich,59g,37g,69g,3g,1980mg,955
Sanford Deli,Any,Heat and Eat,Tomato Basil Bisque,7 oz Portion,10g,3g,12g,5g,780mg,150
Sanford Deli,Any,Pastries All Day,Fudge Brownie,Brownie,20g,6g,56g,75g,110mg,428
Sanford Deli,Drink,Coffee and Tea,Cafe Latte Low Fat Milk,SmallLarge,0g,12g,17g,18g,150mg,116
Sanford Deli,Drink,Coffee and Tea,Cafe Latte Oat Milk,SmallLarge,3g,6g,35g,24g,150mg,191
Sanford Deli,Drink,Coffee and Tea,Cafe Latte Whole Milk,SmallLarge,12g,12g,18g,16g,180mg,228
Sanford Deli,Drink,Coffee and Tea,Iced Turmeric Ginger Chai Oat Milk,SmallLarge,1.5g,3g,42g,34g,85mg,194
Sanford Deli,Drink,Coffee and Tea,Iced Turmeric Ginger Chai Skim Milk,LargeSmall,0g,11g,51g,49g,135mg,248
Sanford Deli,Drink,Coffee and Tea,Iced Turmeric Ginger Chai Whole Milk,SmallLarge,7g,7g,31g,29g,100mg,215
Sanford Deli,Drink,Coffee and Tea,Turmeric Ginger Chai Oat Milk,LargeSmall,3.5g,7g,68g,53g,170mg,332
Sanford Deli,Drink,Coffee and Tea,Turmeric Ginger Chai Whole Milk,Small,8g,8g,28g,26g,120mg,216
Sanford Deli,Drink,Lattes and Cappuccinos,Chai Latte Oat Milk,LargeSmall,4.5g,9g,60g,43g,230mg,316
Sanford Deli,Drink,Lattes and Cappuccinos,Chai Latte Skim Milk,SmallLarge,0g,10g,18g,18g,130mg,112
Sanford Deli,Drink,Lattes and Cappuccinos,Chai Latte Whole Milk,LargeSmall,17g,17g,32g,30g,260mg,349
Red Mango,Any,"Sandwich, Wrap or Flatbread (Choose Your Bread)",Bread Sourdough,2 Slice Portion,4g,13g,75g,3g,780mg,388
Red Mango,Any,"Sandwich, Wrap or Flatbread (Choose Your Bread)",Gluten Free Multi-Grain Bread,2 Slice Portion,2.5g,3g,56g,6g,340mg,258
Red Mango,Any,"Sandwich, Wrap or Flatbread (Choose Your Bread)",Naan,Naan,4.5g,8g,40g,3g,310mg,232
Red Mango,Any,"Sandwich, Wrap or Flatbread (Choose Your Bread)",Flour Tortilla,Tortilla,5g,6g,33g,0g,390mg,201
Red Mango,Any,"Sandwich, Wrap or Flatbread (Choose Your Bread)",Gluten Free Tortilla,Tortilla,4.5g,2g,27g,4g,350mg,156
Red Mango,Any,"Sandwich, Wrap or Flatbread (Choose Your Bread)",Whole Wheat Tortilla,Tortilla,4.5g,5g,27g,3g,260mg,168
Red Mango,Any,"Sandwich, Wrap or Flatbread (Choose Your Bread)",Sub Roll,Roll,1.5g,9g,48g,2g,480mg,242
Red Mango,Any,Power Bowls,Berries and Acai Bowl,Bowl,5g,3g,48g,26g,30mg,249
Red Mango,Any,Power Bowls,The Pink Bowl,Bowl,6g,9g,109g,51g,105mg,526
Red Mango,Any,Power Bowls,Choc-Nut Dream Bowl,Bowl,19g,9g,95g,49g,150mg,587
Red Mango,Any,Power Bowls,PB Power Bowl,Bowl,25g,15g,83g,36g,280mg,617
Red Mango,Any,Power Bowls,Red White and Blue Bowl,Bowl,10g,5g,79g,59g,60mg,426
Red Mango,Any,Grab and Go,Chocolate Chip Power Bites,Serving,24g,17g,59g,32g,180mg,520
Red Mango,Any,Grab and Go,Double Chocolate Power Bites,Serving,25g,17g,69g,40g,180mg,569
Red Mango,Any,Grab and Go,Yogurt Parfait w/ Blueberry & Strawberry,Parfait,4g,9g,62g,36g,140mg,320
Red Mango,Any,Grab and Go,Turkey and Provolone Wrap,Sandwich,29g,37g,41g,3g,1860mg,573
Red Mango,Any,Grab and Go,Overnight Yoats with Blueberries,12 oz Portion,11g,20g,114g,16g,35mg,635
Red Mango,Any,Grab and Go,Coconut Chia Pudding Parfait,Parfait,10g,5g,32g,19g,70mg,238
Red Mango,Drink,Protein Smoothies,Banana PB Protein Smoothie,16 oz,22g,24g,101g,54g,520mg,698
Red Mango,Drink,Protein Smoothies,Berry Power Protein Smoothie,16 oz,26g,25g,76g,50g,520mg,638
Red Mango,Drink,Protein Smoothies,Mango Metabolizer Smoothie,16 oz,1.5g,11g,48g,34g,55mg,250
Red Mango,Drink,Protein Smoothies,Skinny Strawberry Smoothie,16 oz,1.5g,11g,52g,37g,50mg,266
Red Mango,Drink,Protein Smoothies,PB & J Smoothie,24 oz,25g,43g,100g,66g,720mg,797
Red Mango,Drink,Protein Smoothies,Super Peanut Butter Cup Smoothie,24 oz,12g,18g,143g,20g,240mg,752
Red Mango,Drink,Protein Smoothies,Honey Badger Smoothie,24 oz,7g,35g,158g,99g,590mg,835
Red Mango,Drink,Protein Smoothies,Mighty Oat Smoothie,16 oz,38g,29g,43g,6g,280mg,630
Red Mango,Drink,Green Smoothies,Citrus Mango Greens Smoothie,24 oz,1g,3g,68g,42g,75mg,293
Red Mango,Drink,Fruit and Yogurt Smoothies,Berry Banana Smoothie,24 oz,1g,6g,98g,74g,320mg,425
Red Mango,Drink,Fruit and Yogurt Smoothies,Strawberry Banana Smoothie,16 oz,0g,4g,69g,53g,210mg,292
Red Mango,Drink,Fruit and Yogurt Smoothies,Tropical Mango Smoothie,16 oz,0g,4g,57g,54g,200mg,244
Red Mango,Drink,Fruit and Yogurt Smoothies,Pina Colada Smoothie,24 oz,17g,12g,131g,119g,440mg,725
Tandoor Indian Cuisine,Lunch,Meat Dishes,Chicken 65,4.3 oz Portion,3g,25g,15g,2g,730mg,187
Tandoor Indian Cuisine,Lunch,Meat Dishes,Chicken Tikka Masala,6 oz Portion,13g,17g,13g,6g,1440mg,237
Tandoor Indian Cuisine,Lunch,Meat Dishes,Fish Malabar Contains Coconut,5.6 oz Portion,20g,21g,6g,1g,1040mg,288
Tandoor Indian Cuisine,Lunch,Vegetarian Dishes,Chana Masala,5 oz Portion,6g,5g,16g,1g,1300mg,138
Tandoor Indian Cuisine,Lunch,Vegetarian Dishes,Paneer Makhani,6 oz Ladle Portion,33g,18g,11g,6g,1050mg,413
Tandoor Indian Cuisine,Lunch,Vegetarian Dishes,Saag (Tempered Spinach),5 oz Portion,4.5g,6g,10g,2g,1430mg,104
Tandoor Indian Cuisine,Lunch,Vegetarian Dishes,Curry Egg,5 oz Portion,11g,50g,6g,2g,780mg,323
Tandoor Indian Cuisine,Lunch,Vegetarian Dishes,Veggie Malabar Contains Coconut,5 oz Ladle Portion,13g,3g,11g,3g,720mg,173
Tandoor Indian Cuisine,Lunch,Sides,Basmati Rice,6 oz Portion,0g,7g,84g,0g,0mg,364
Tandoor Indian Cuisine,Lunch,Sides,Vegetable Samosa,Samosa,9g,5g,44g,0g,700mg,277
Tandoor Indian Cuisine,Lunch,Sides,Cabbage Poriyal,6 oz Portion,6g,3g,10g,5g,850mg,106
Tandoor Indian Cuisine,Lunch,Sides,Dal Peas,6 oz Portion,7g,10g,25g,4g,920mg,203
Tandoor Indian Cuisine,Lunch,Dosai,Chicken Tikka Dosa,Dosa,5g,8g,56g,2g,1930mg,301
Tandoor Indian Cuisine,Lunch,Dosai,Masala Dosa,Dosa,3.5g,10g,67g,2g,1000mg,340
Tandoor Indian Cuisine,Lunch,Dosai,Vegetable Dosa,Dosa,7g,5g,27g,3g,1350mg,191
Tandoor Indian Cuisine,Lunch,Coffee and Tea,Tandoor Mango Lassi,12 oz Portion,7g,17g,71g,102g,60mg,415
Il Forno,Any,Pasta Station,Blackened Shrimp Scampi,7.6 oz Portion,19g,22g,11g,3g,4780mg,303
Il Forno,Any,Pasta Station,Braised Italian Beef Pasta,2 Container,10g,16g,49g,3g,360mg,350
Il Forno,Any,Pasta Station,Chicken Alfredo Pasta,2 Container,24g,30g,47g,2g,660mg,524
Il Forno,Any,Pasta Station,Chicken Basil Pesto Pasta,2 Container,20g,26g,48g,2g,460mg,476
Il Forno,Any,Pasta Station,Garden Pesto Pasta,2 Container,10g,10g,45g,3g,290mg,310
Il Forno,Any,Pasta Station,Meatball and Spaghetti Pasta,2 Container,15g,22g,71g,4g,530mg,507
Il Forno,Any,Pasta Station,Parma Rosa Pasta,2 Container,10g,30g,49g,6g,530mg,406
Il Forno,Any,Pasta Station,Salmon Alfredo Pasta,2 Container,16g,26g,43g,1g,280mg,420
Il Forno,Any,Pasta Station,Spicy IL Forno Pasta,2 Container,12g,17g,51g,7g,670mg,380
Il Forno,Any,Personal Artisan Pizza,Blaise Pizza,Pizza,25g,43g,154g,33g,2660mg,1013
Il Forno,Any,Personal Artisan Pizza,Bruschetta Pizza,Pizza,34g,38g,134g,17g,1730mg,994
Il Forno,Any,Personal Artisan Pizza,Buffalo Chicken Pizza,Pizza,67g,63g,150g,16g,3450mg,1455
Il Forno,Any,Personal Artisan Pizza,Cheese Pizza,Pizza,28g,41g,139g,21g,2420mg,972
Il Forno,Any,Personal Artisan Pizza,Four Cheese Pizza,Pizza,45g,56g,138g,19g,2650mg,1181
Il Forno,Any,Personal Artisan Pizza,Harvest Pizza,Pizza,26g,35g,139g,19g,2580mg,930
Il Forno,Any,Personal Artisan Pizza,Heritage Honey Pizza,Pizza,32g,42g,159g,21g,2470mg,1092
Il Forno,Any,Personal Artisan Pizza,Kyle's BBQ Pizza,Pizza,77g,48g,162g,32g,3850mg,1533
Il Forno,Any,Personal Artisan Pizza,Margherita Pizza,Pizza,36g,34g,132g,16g,2070mg,988
Il Forno,Any,Personal Artisan Pizza,Pepperoni Pizza,Pizza,54g,51g,139g,21g,3370mg,1246
Il Forno,Any,Personal Artisan Pizza,PJ's New Yorker,Pizza,45g,50g,141g,22g,3100mg,1169
Il Forno,Any,Personal Artisan Pizza,Quattro Pizza,Pizza,52g,57g,140g,21g,3390mg,1256
Il Forno,Any,Personal Artisan Pizza,Rustic Pizza,Pizza,54g,71g,157g,25g,4800mg,1398
Il Forno,Any,Personal Artisan Pizza,Stinger Pizza,Pizza,57g,61g,178g,39g,4560mg,1469
Il Forno,Any,Personal Artisan Pizza Gluten Free Crust,Blaise Pizza GFF,Pizza,23g,33g,83g,24g,1950mg,671
Il Forno,Any,Personal Artisan Pizza Gluten Free Crust,Bruschetta Pizza GFF,Pizza,32g,27g,63g,7g,1020mg,648
Il Forno,Any,Personal Artisan Pizza Gluten Free Crust,Buffalo Chicken Pizza GFF,Pizza,63g,49g,61g,5g,2540mg,1007
Il Forno,Any,Personal Artisan Pizza Gluten Free Crust,Cheese Pizza GFF,Pizza,26g,30g,67g,12g,1710mg,622
Il Forno,Any,Personal Artisan Pizza Gluten Free Crust,Four Cheese Pizza GFF,Pizza,43g,45g,66g,10g,1940mg,831
Il Forno,Any,Personal Artisan Pizza Gluten Free Crust,Harvest Pizza GFF,Pizza,24g,25g,68g,10g,1880mg,588
Il Forno,Any,Personal Artisan Pizza Gluten Free Crust,Heritage Honey Pizza GFF,Pizza,44g,36g,65g,9g,2020mg,800
Il Forno,Any,Personal Artisan Pizza Gluten Free Crust,Margherita Pizza GFF,Pizza,34g,23g,60g,7g,1370mg,638
Il Forno,Any,Personal Artisan Pizza Gluten Free Crust,Pepperoni Pizza GFF,Pizza,52g,41g,67g,12g,2660mg,900
Il Forno,Any,Personal Artisan Pizza Gluten Free Crust,PJ's New Yorker Pizza GFF,Pizza,43g,39g,70g,13g,2390mg,823
Il Forno,Any,Personal Artisan Pizza Gluten Free Crust,Rustic Pizza GFF,Pizza,51g,59g,76g,14g,3990mg,999
Il Forno,Any,Personal Artisan Pizza Gluten Free Crust,Stinger Pizza GFF,Pizza,53g,46g,84g,27g,3600mg,997
Il Forno,Any,Pizza by the Slice,Cheese Pizza Slice,Slice,15g,19g,52g,6g,930mg,419
Il Forno,Any,Pizza by the Slice,Pepperoni Pizza Slice,Slice,21g,22g,52g,6g,1170mg,485
Il Forno,Any,Chef Special,Chicken Parmesan,Portion,29g,54g,11g,2g,1560mg,521
Il Forno,Any,Sides,Breadstick,Breadstick,3.5g,3g,18g,2g,210mg,116
Il Forno,Any,Combo Meal Soup,Minestrone Soup,12 oz Portion,1.5g,6g,21g,6g,1100mg,122
Il Forno,Any,Combo Meal Soup,Roasted Red Tomato Soup,12 oz Portion,35g,6g,28g,21g,1190mg,451
Il Forno,Any,Combo Meal Soup,White Bean Chicken Chili,12 oz Portion,1.5g,16g,39g,2g,610mg,234
Il Forno,Any,Combo Meal Soup,Chicken Tortilla Soup,12 oz Portion,2.5g,3g,10g,3g,2160mg,74
Il Forno,Any,Combo Meal Salads,Broccoli Salad,5 oz Portion,12g,8g,22g,9g,290mg,228
Il Forno,Any,Combo Meal Salads,Caprice Salad,5 oz Portion,8g,6g,5g,3g,130mg,116
Il Forno,Any,Combo Meal Salads,Cucumber Tomato Salad,5 oz Portion,1g,1g,5g,2g,120mg,33
Il Forno,Any,Combo Meal Salads,Fajita Salad,Salad,37g,45g,89g,9g,2010mg,869
Il Forno,Any,Combo Meal Salads,Italian Pasta Salad,5 oz Portion,7g,7g,29g,1g,410mg,207
Il Forno,Any,Combo Meal Entrees,Baked Manicotti,2 Pc Portion,17g,20g,21g,5g,970mg,317
Il Forno,Any,Combo Meal Entrees,Baked Ziti,9 oz Portion,18g,17g,39g,3g,650mg,386
Il Forno,Any,Combo Meal Entrees,Chicken Peri,9.5 oz Portion,11g,71g,3g,0g,1270mg,395
Il Forno,Any,Combo Meal Entrees,Chimichanga,Chimichanga,43g,42g,94g,9g,2350mg,931
Il Forno,Any,Combo Meal Entrees,Meat Lasagna,7.4 oz Portion,13g,16g,24g,5g,760mg,277
Il Forno,Any,Combo Meal Entrees,Stuffed Shells,2 Pc Portion,23g,19g,39g,3g,860mg,439
Il Forno,Any,Combo Meal Sides,Black Beans,Taco Portion,0g,4g,11g,0g,630mg,60
Il Forno,Any,Combo Meal Sides,Cilantro Lime Brown Rice,Taco Portion,1g,1g,15g,0g,45mg,73
Il Forno,Any,Combo Meal Sides,Cilantro Lime White Rice,Taco Portion,2g,2g,22g,0g,55mg,114
Il Forno,Any,Combo Meal Sides,Elote (Street Corn),Portion,14g,9g,56g,9g,100mg,386
Il Forno,Any,Combo Meal Sides,Italian Potato Verde,5 oz Portion,3.5g,3g,31g,0g,55mg,168
Il Forno,Any,Combo Meal Tapas,Barbacoa Empanada,Empanada,16g,25g,20g,1g,520mg,324
Il Forno,Any,Combo Meal Tapas,Caprese Panini,Sandwich,13g,16g,45g,3g,590mg,361
Il Forno,Any,Combo Meal Tapas,Carnita Empanada,Empanada,19g,18g,22g,3g,3170mg,331
Il Forno,Any,Combo Meal Tapas,Chicken Empanada,Empanada,17g,25g,18g,3g,460mg,325
Il Forno,Any,Combo Meal Tapas,Italian Panini,Sandwich,41g,30g,49g,3g,2470mg,685
Il Forno,Any,Combo Meal Tapas,Pesto Panini,Sandwich,32g,46g,46g,3g,1170mg,656
Il Forno,Any,Combo Meal Tapas,Portobello Empanada,Empanada,11g,10g,21g,3g,870mg,223
Il Forno,Any,Combo Meal Tapas,Barbacoa Stuffed Arepa,Sandwich,28g,40g,84g,4g,800mg,748
Il Forno,Any,Combo Meal Tapas,Chicken Stuffed Arepa,Sandwich,29g,40g,83g,3g,750mg,753
Il Forno,Any,Combo Meal Tapas,Veggie Stuffed Arepa,Sandwich,25g,29g,82g,3g,590mg,669
Sazon,Any,Choose Protein,Beef Barbacoa,Arepa Bowl PortionQuesadilla PortionTaco PortionBurrito Portion,8g,28g,5g,2g,510mg,204
Sazon,Any,Choose Protein,Chipotle Chicken,Taco PortionArepa Bowl PortionQuesadilla PortionBurrito Portion,9g,29g,3g,1g,400mg,209
Sazon,Any,Choose Protein,Pork Carnitas,Taco PortionArepa Bowl PortionQuesadilla PortionBurrito Portion,13g,14g,9g,1g,4790mg,209
Sazon,Any,Choose Protein,Portobello Mushrooms,Taco PortionArepa Bowl PortionQuesadilla PortionBurrito Portion,0g,1g,5g,1g,730mg,24
Sazon,Any,Choose Protein,Blackened Shrimp,Arepa Bowl PortionQuesadilla PortionBurrito PortionTaco Portion,10g,17g,0g,0g,1420mg,158
Sazon,Any,Choose Protein,Steak,Taco PortionArepa Bowl PortionQuesadilla PortionBurrito Portion,10g,34g,0g,0g,600mg,226
Sazon,Any,Choose Protein,Chorizo,Arepa PortionQuesadilla PortionTaco PortionBurrito Portion,18g,15g,8g,0g,760mg,254
Sazon,Any,Choose Protein,Tofurizo,Arepa PortionBurrito PortionQuesadilla PortionTaco Portion,16g,24g,12g,3g,450mg,288
Sazon,Any,Choose Protein,Hot Honey Chicken,Arepa PortionBurrito PortionTaco PortionQuesadilla Portion,23g,30g,13g,10g,1030mg,379
Sazon,Any,Choose Sides,Chips,Bag,17g,2g,17g,0g,280mg,229
Sazon,Any,Choose Sides,Chips and Salsa,Portion,18g,3g,22g,2g,450mg,262
Sazon,Any,Choose Sides,"Flour Tortilla 6""",Tortilla,4g,4g,24g,0g,280mg,148
Sazon,Any,Choose Sides,Guacamole,6 oz Portion,17g,3g,15g,2g,650mg,225
Sazon,Any,Choose Sides,Horchata,13 oz Portion,7g,5g,90g,73g,180mg,443
Sazon,Any,Choose Sides,Latin Arepa Bowl,Arepa,8g,3g,23g,2g,180mg,176
Sazon,Any,Choose Sides,Maduros (Sweet Plantains),2 Piece Portion,6g,3g,25g,10g,0mg,166
Sazon,Any,Choose Sides,Pico de Gallo,Taco Portion,9g,0g,2g,1g,45mg,89
Sazon,Any,Choose Sides,Queso Dip,Side Portion,15g,9g,8g,4g,980mg,203
Sazon,Any,Choose Sides,Tostones,5 Piece Portion,10g,2g,46g,1g,740mg,282
Sazon,Any,Choose Sides,"White Corn Tortilla 6""",Tortilla,8g,1g,16g,0g,10mg,140
